name,botwiki-verified,midterm-18,gilani-17,cresci-rtbust,5-fold_cross-validation,spearman_r
0000010,0.9838307883765968,0.9795531094272343,0.7492076132310164,0.5157723712714547,0.8671348510164301,0.6109185335508363
0000011,0.9796914182876375,0.9627416629320698,0.7374149368854724,0.5164347608731877,0.8907565789473683,0.5923926255234003
0000110,0.9659938598021812,0.9721774954372547,0.6839706211417215,0.6776328945175805,0.9225026852846401,0.6496718883678825
0000111,0.9615660821125279,0.9639648652241204,0.68324700880576,0.663535244125979,0.9206804933109174,0.6531206804498247
0001001,0.619270963266966,0.6109803534735735,0.47982605662538014,0.38006998833527744,0.999634009009009,0.06354761561530618
0001010,0.9922036215342419,0.9813969252176981,0.6348870651415635,0.551553907682053,0.9626231318432706,0.5791296006447069
0001011,0.9885246220778903,0.9755111472623562,0.6203802666736867,0.5222087985335777,0.9762840548054011,0.5824340321249004
0001100,0.9014233636113247,0.8843399064879132,0.5030550327089887,0.5693426095650724,0.994723117290459,0.2768090019661551
0001101,0.9005127166121336,0.8318225519376438,0.5122421781422347,0.5738251958006999,0.9942359658548903,0.33520419572768617
0001110,0.9888342997391355,0.9737950649354037,0.6034097639951036,0.6898183636060656,0.9642157997886548,0.5795887742463072
0001111,0.9886821647297694,0.971880293064755,0.6110174009187475,0.675737377103816,0.9619028067682998,0.610248360562783
0010010,0.9941438836679103,0.9103398633054836,0.7034058152238296,0.6769538410264957,0.9940972019393657,0.5761737091218414
0010011,0.9933864532065878,0.92574502035432,0.6799109552077711,0.6828778536910515,0.9921559402403762,0.5551942200009349
0010110,0.9875202426084737,0.9403340754857283,0.6312778881971226,0.7353066155640726,0.9758607283398554,0.5884645258938893
0010111,0.98577717917178,0.9377556881962132,0.6405825095757703,0.7100024995834028,0.973088353804418,0.5926065698209979
0011000,0.9565863643770468,0.6981760477777481,0.4526746344095929,0.6190718213631061,0.9999996455233976,0.06860664773763807
0011001,0.9586286506994605,0.8007062240042182,0.465262659102576,0.5959548408598567,0.9999044300365441,0.03669862389188731
0011010,0.9940941333567905,0.921281895575429,0.6021520803443329,0.6436760539910016,0.9918276343487575,0.5374329354186695
0011011,0.9938237512311401,0.9308872552183369,0.58026733181525,0.6629603399433427,0.9907096741045773,0.5053427511908594
0011100,0.9299764370990233,0.7172133007519497,0.5031675726902979,0.6294909181803032,0.9944774918482875,0.09498445776372336
0011101,0.9377342410481885,0.7192796099927868,0.4993316704618746,0.588760206632228,0.9944827747123745,0.16824940476423086
0011110,0.9920619413004012,0.9496716804829091,0.5830890579547998,0.7309365105815697,0.9832780803894554,0.5667683414800043
0011111,0.9896836601231789,0.9418792069823987,0.5717445671488555,0.7052199633394435,0.9824132552680929,0.560111049253804
0100000,0.967634178031128,0.974945642894025,0.6691285061798271,0.7622521246458924,0.994595710853738,0.6314830491836729
0100001,0.9543659863612044,0.965659357792026,0.665482144972556,0.7416805532411265,0.9930375867722466,0.5914979549226314
0100010,0.9732170281615603,0.9780093579515727,0.6871632027167546,0.6799116813864357,0.9907016213152964,0.6147524494360005
0100011,0.9647136905646011,0.9708065479213519,0.6900300106616826,0.6270121646392267,0.9878405233382912,0.6049425711211673
0100100,0.917045321812411,0.9603617322713127,0.628365340318271,0.7454549241793036,0.9755463067423996,0.5354172921152788
0100101,0.9059499209042154,0.9561054723504464,0.6230726705540126,0.7351941343109482,0.9710456794093776,0.5019004234915462
0100110,0.9544914436675065,0.9667209374970667,0.6664397220065024,0.6728003666055657,0.9645483477253828,0.5622888740787544
0100111,0.9547084703870287,0.9639293820890138,0.6625580798441552,0.6890893184469254,0.9638934760230435,0.5603970427383169
0101000,0.9870483356718384,0.9844662768167487,0.6255988969765574,0.7101983002832861,0.9965449337033624,0.6013497502217462
0101001,0.9796431100145214,0.9754139110985577,0.6420060416200493,0.7335985669055158,0.9962463428376616,0.6097139165089777
0101010,0.9912695414174945,0.9799853835395147,0.6751395232516815,0.6450299950008332,0.9952910276580711,0.656449170453305
0101011,0.9893382920213478,0.9789743361860211,0.6668740868466428,0.6564947508748542,0.9943231993780473,0.6164707260364486
0101100,0.9650143554883246,0.9655319707894854,0.6322341489739777,0.717309615064156,0.9905952868743142,0.5118110728942065
0101101,0.9676972671937797,0.968775448140569,0.6204154765508799,0.7128436927178803,0.9899014260905785,0.5223155427660411
0101110,0.9865219918005719,0.973324199729311,0.6554348255301224,0.6733211131478087,0.9840022932038719,0.547599831858275
0101111,0.9848459831310395,0.9729834655548735,0.654153120187435,0.6493084485919014,0.9829657532604038,0.5365708252410418
0110000,0.9771963320321344,0.9501977130478181,0.6467919524041436,0.6817405432427929,0.9757796351092651,0.4687222338806185
0110001,0.9700211114363707,0.9525523840835342,0.6388684137785792,0.6952466255624062,0.9754460772390932,0.46323186977284403
