statuses_count,followers_count,friends_count,favourites_count,listed_count,default_profile,profile_use_background_image,verified,tweet_freq,followers_growth_rate,friends_growth_rate,favourites_growth_rate,listed_growth_rate,followers_friends_ratio,screen_name_length,num_digits_in_screen_name,name_length,num_digits_in_name,description_length,screen_name_likelihood
1105,94,868,8884,0,False,True,False,0.009376172154100882,0.0007976110248737402,0.007365174144578792,0.07538272707423732,0.0,0.10829493087557604,9,0,3,0,3,0.002775806252750723
8291,141,292,535,0,True,True,False,5.4346573295934055,0.09242391550749852,0.1914027186396423,0.35068648791852275,0.0,0.4828767123287671,12,2,30,0,107,0.0011530013396529495
3080,13,19,283,0,True,True,False,0.033945819643031415,0.0001432778101816261,0.00020940603026545353,0.0031190477139538607,0.0,0.6842105263157895,14,2,25,0,3,0.001898461585101152
23723,459,407,36557,3,True,True,False,0.5204577271979602,0.010069978366305432,0.008929152930471265,0.8020222203421082,6.581685206735577e-05,1.1277641277641277,15,0,19,0,52,0.004138868418194406
611,78,2394,1048,0,True,True,False,0.5711758728829867,0.07291606887867914,2.2379624217379215,0.9796928228827659,0.0,0.03258145363408521,10,0,10,0,3,0.0010881177026832002
25027,121,7,49,0,True,True,False,35.33064195144141,0.17081582595294723,0.009881907286534135,0.06917335100573896,0.0,17.285714285714285,11,0,11,0,3,0.0030861577651243566
16024,534,350,10609,1,True,True,False,2.4810422180258684,0.08268076288228993,0.054191511252437215,1.6426221225060185,0.00015483288929267776,1.5257142857142858,9,0,1,0,26,7.263327042462722e-05
35088,179,196,78001,3,True,True,False,0.6085208762344514,0.003104344415354731,0.003399170421282275,1.3527484287267284,5.202811869309605e-05,0.9132653061224489,14,0,8,0,24,0.0016982217280655323
13427,762,945,12848,2,True,True,False,0.3859282227573882,0.021901936824393373,0.027161850786157134,0.3692861998947586,5.748539848922145e-05,0.8063492063492064,11,0,5,0,80,0.0019953243977848586
6944,1278,929,62316,7,True,True,False,0.2595338220896397,0.047765585344262604,0.03472161876746476,2.329076851575171,0.000261626836783911,1.3756727664155006,9,1,4,0,48,0.0017598869085326302
923,1856,15,1,3,True,True,False,0.23039498372958503,0.4632861211290464,0.0037442305048144913,0.00024961536698763273,0.0007488461009628983,123.73333333333333,14,0,45,0,158,0.001964546038164576
304,0,0,0,0,True,True,False,-12.965595678134775,-0.0,-0.0,-0.0,-0.0,0.0,15,8,11,0,22,0.0003886206035787064
6608,256,1942,12361,0,True,True,False,0.8193219006388968,0.031741284286252655,0.24078739876524477,1.5326328713373794,0.0,0.13182286302780638,12,4,12,0,18,0.0010881472717172264
51158,193,287,9894,3,False,True,False,0.9331598057904299,0.003520462928917334,0.005235092541965154,0.1804738871435653,5.472222169301555e-05,0.6724738675958188,14,0,31,0,51,0.00011947588889658282
22931,2778,4476,3407,0,False,True,False,0.5624097551668291,0.06813371854055432,0.10977916637419768,0.08356068360967192,0.0,0.6206434316353887,8,3,8,0,33,7.900018429589462e-05
10607,48,73,14823,0,True,True,False,2.2385190689638472,0.010130000500637755,0.015406042428053253,3.1282707796031968,0.0,0.6575342465753424,15,1,20,0,18,0.002476787632480038
55744,432,434,41528,19,True,True,False,12.796387497699655,0.09916833020605359,0.09962744284589642,9.533014853696743,0.004361570078506986,0.9953917050691244,7,4,3,0,92,0.0003981080978580236
165975,540,178,45526,0,True,True,False,4.391394477831917,0.014287410863257933,0.0047095539512220595,1.204534568445705,0.0,3.033707865168539,7,0,9,0,106,0.0004772105857971525
7895,108,62,53740,0,False,True,False,0.10413427965509577,0.0014245094620329757,0.0008177739504263379,0.7088253563856678,0.0,1.7419354838709677,9,0,5,0,3,0.002301274561094438
12157,269,277,7030,4,True,True,False,4.297160470153257,0.09508399822910472,0.09791177512811156,2.4849089500022536,0.001413888449503416,0.9711191335740073,15,1,8,0,3,4.232384002339788e-05
6667,358,158,5730,0,True,True,False,0.18564763811893986,0.00996877972800067,0.004399629041966776,0.15955616715487106,0.0,2.2658227848101267,14,0,7,0,27,0.003401331183355733
95930,197,309,90319,1,True,True,False,2.66644479493836,0.005475759664368361,0.008588881910100628,2.5104829295740405,2.7795734336895234e-05,0.6375404530744336,15,8,7,0,3,0.0004953870919161798
23948,206,94,14,1,False,True,False,0.25391572992938066,0.0021841757293073498,0.0009966627114315091,0.0001484391272344801,1.0602794802462864e-05,2.1914893617021276,12,0,7,0,30,0.0039037611757684392
349,29,32,348,0,True,True,False,1.575277027586155,0.13089694498566903,0.1444380082600486,1.5707633398280285,0.0,0.90625,15,8,13,0,3,0.00037002594029947523
169472,248,388,13229,19,False,True,False,4.868882560459395,0.00712496975898042,0.011147130106791948,0.3800654231514193,0.0005458646186315644,0.6391752577319587,11,0,36,0,153,0.0023214546951412954
27381,146,900,71995,9,False,True,False,0.27457802295071215,0.001464095224820276,0.009025244536563344,0.7219694226776422,9.025244536563345e-05,0.1622222222222222,8,1,10,0,29,0.0016409328464590655
23309,2479,3474,32587,3,True,True,False,5.954470571805839,0.6332803872970386,0.8874610994231191,8.324609915630738,0.0007663740064102929,0.7135866436384571,7,3,20,0,126,0.00038955216409702437
18779,63,513,21265,0,True,True,False,1.092711577379084,0.003665841065811933,0.02985042010732574,1.2373668295950915,0.0,0.12280701754385964,13,3,5,0,2,0.0009280779309675693
210,0,0,0,0,True,True,False,-8.953632972108723,-0.0,-0.0,-0.0,-0.0,0.0,14,8,7,0,22,0.0002550851874670533
