screen_name,cap,overall
catlinoos,0.801617084,0.38
TheOnlyLongy,0.260367838,0.02
a_evy___,0.804599297,0.44
LineaLucky,0.805217634,0.63
EricGelsomino13,0.522239872,0.11
GodGivnName,0.346921018,0.05
CHICHIDH,0.346921018,0.05
JohnLi42196476,0.880831268,0.92
NANABO_O,0.743720537,0.23
shiba4814,0.805412356,0.51
FeebFX,0.828806942,0.83
ricardomonterog,0.798228728,0.35
himadayo0820,0.792436791,0.32
its_indiaaaaa,0.288463897,0.03
mashi_contact,0.816933671,0.79
BurgerEater17,0.792436791,0.32
cell111right,0.80354321,0.41
SkytriDesigner,0.912150217,0.96
ADhepri,0.805428834,0.52
ixxif20,0.912150217,0.96
vinivinidogo,0.620704985,0.15
roomasiminn,0.803970412,0.42
NdayaaK,0.522239872,0.11
NWongmahawan,0.805247828,0.64
nandomtts,0.767421432,0.26
YQnYSOTXfNh1kXy,0.796624129,0.34
OwnHimJarred,0.805401614,0.55
xxkagehinaxx,0.678486427,0.18
sorceriez,0.805409212,0.66
picaflorbello,0.789743263,0.31
Itsporn5,0.880831268,0.92
po_razzi,0.806051268,0.69
l07l07,0.733499832,0.22
Nilz_1990,0.805247503,0.48
oh__komattana,0.782826526,0.29
Nativeguy1211,0.805768421,0.68
popsjbp223,0.805412356,0.51
MarcoHi41547236,0.880831268,0.92
phrnphthxngthb1,0.82525729,0.82
KIM_SAM_SEUNG2,0.810212929,0.75
_Sergio4,0.760577756,0.25
kissedthearth,0.660850031,0.17
15XLMET2BEDN1aN,0.805247828,0.64
Rohanaserah,0.904303822,0.95
LAKEXVIII,0.317394501,0.04
fabio2680,0.782826526,0.29
lakrandhi95,0.678486427,0.18
Toxictv88379085,0.805247828,0.64
_quadros99,0.800688198,0.37
Evaamolina02,0.436508148,0.08
LauraLo73714580,0.880831268,0.92
ManiDoosti,0.805308864,0.65
lamar_kedu,0.896387238,0.94
j0rdan_marshall,0.548888816,0.12
martins011x,0.805244408,0.6
711SEJ,0.80482457,0.45
kateburkeremax,0.233324324,0.01
QuincyVarela,0.880831268,0.92
chatelaiine,1,1
HeadHonchoe,0.494490727,0.1
BhaskarGBSR,0.873394495,0.91
dreamcatchermja,0.810212929,0.75
suikazurasupika,0.802386356,0.39
RBkyuuu,0.678486427,0.18
MindTendencies2,0.786564267,0.3
Soboroq,0.733499832,0.22
Ray02525,0.805002937,0.46
tkkspring,0.436508148,0.08
f9_mekamahalo,0.806895573,0.71
farias_maye,0.842103164,0.86
sea_atsu_man,0.678486427,0.18
teneske,0.805401614,0.55
janghada9,0.803970412,0.42
ZachGingrich27,0.678486427,0.18
RyuKuri201911,0.802386356,0.39
nigerlick5,0.805558658,0.67
dayIightera,0.778449498,0.28
sweetieaaish,0.803970412,0.42
lovereal__pcy,0.548888816,0.12
nkniap,0.721951097,0.21
trivisaitihasa,0.494490727,0.1
mesugorira3298,0.805409212,0.66
Mart78563985,0.859576255,0.89
Envykevinp,0.760577756,0.25
JamesHe71709540,0.880831268,0.92
SunnyDzemi,0.789743263,0.31
RosePeachHoney,0.80482457,0.45
bbbgramps,0.773345711,0.27
LauraLo73714580,0.880831268,0.92
woojin_ir,0.806051268,0.69
DiegoG89756463,0.80912737,0.74
recstufff,0.805374765,0.56
BoonjitKanda,0.805308577,0.58
TheDailyfooti3,0.919787642,0.97
nooicy,0.376789964,0.06
coldest117,0.317394501,0.04
sjykitten,0.803021245,0.4
ScottBarajas10,0.880831268,0.92
bearnanda_,0.317394501,0.04
azukihoshiyasai,0.778449498,0.28
geovana_hot,0,0
DonnaDoReality,0.522239872,0.11
la_stabe,0.548888816,0.12
ErinBridgers9,1,1
gabrielacdoso1,0.233324324,0.01
AngelicM17,0.803970412,0.42
notheless,0.798228728,0.35
2Red2Wolf2,0.82525729,0.82
aysoo68613648,0.806895573,0.71
taretareko,0.620704985,0.15
MvPentrepreneur,0.494490727,0.1
claventrx,0.805558658,0.67
jcjackson890,0.816933671,0.79
Faiizaa17,0.805210997,0.62
GermanT72575956,0.862881794,0.895
chiii_10230,0.814841753,0.78
amore_mp3,0.767421432,0.26
milktealazy,0.800688198,0.37
gky16291,0.866290538,0.9
GreisyMergarejo,0.816933671,0.79
cassismomoki,0.465839247,0.09
Lukluk18An,0.805409212,0.66
pieckloo,0.752712155,0.24
a11353611,0.805244408,0.6
Ragnvaldr1,0.598241997,0.14
XDEqQVT5B64fS0B,1,1
FirstXxayz,0.798228728,0.35
cuckold6789,0.832785604,0.84
Teck923,0.522239872,0.11
btssjh,0.743720537,0.23
Nose_que_poner3,0.548888816,0.12
acahoon2,0.598241997,0.14
popn_ninja,0.773345711,0.27
getnavi_onepub,0.796624129,0.34
Deil_Deily,0.620704985,0.15
FatmaAycan17,0.859576255,0.89
Tamaha_07,0.743720537,0.23
kyoraku_tanu,0.805308864,0.65
thekidraloiGTA,0.805558658,0.67
EdnaWil84710474,0.880831268,0.92
ringuebeu,0.522239872,0.11
singularitysoup,0.288463897,0.03
lowensmaderaa,0.80354321,0.41
inmypurple96,0.805421093,0.54
LeonardoRiosIII,0.288463897,0.03
AylinSevilKrl4,0.853292039,0.88
jobs_related,0.842103164,0.86
AreYouAwaQe,0.786564267,0.3
Stellabella30,0.80354321,0.41
Isabell41290172,0.810212929,0.75
Kumanecoyaro,0.805244408,0.6
Ghaziabad365,0.832785604,0.84
_ItCoffee,0.796624129,0.34
Iv_mfox,0.805342903,0.57
Doehyu,0.853292039,0.88
tradebutwhy,0.494490727,0.1
fA76766yx7zagp8,0.888526364,0.93
Bruhmanx007,0.522239872,0.11
bigbrother_4,0.641587017,0.16
imperiobae,0.767421432,0.26
dc_endi,0.805409212,0.66
Claudio90791011,0.598241997,0.14
Belinda07749345,0.641587017,0.16
everaldobaptis2,0.792436791,0.32
KaueMacedoMMA,0.803021245,0.4
Miutannatsu2,0.816933671,0.79
Softly_Sarah,0.678486427,0.18
nqpxt1,0.806051268,0.69
zeyunee,0.694516142,0.19
buteraindrups,0.598241997,0.14
NunaAF_,0.494490727,0.1
MEWOW__,0.805768421,0.68
cnazareth_,0.805374765,0.56
_dniadriana,0.743720537,0.23
judynor00320887,0.904303822,0.95
Peterso11805959,0.847463455,0.87
OfficeSatyam,0.847463455,0.87
Mi99247268Anita,0.82211303,0.81
trivcolor,0.805217634,0.63
Lukitascisneros,0.465839247,0.09
momod2o2,0.802386356,0.39
juniorzsk129,0.752712155,0.24
Aoiero2206,0.859576255,0.89
gago08,0.806895573,0.71
80mE0BiLaSy8un4,0.786564267,0.3
fleetdjedmradio,0.82525729,0.82
MMMing8,0.760577756,0.25
Zakuroneko48,0.786564267,0.3
TotoVerlie,0.904303822,0.95
MikeJam75359786,0.805210997,0.62
SexyEmoGirl3,0.803021245,0.4
WAR8jp0NcZoGaqn,0.805558658,0.67
dorayaki_1016,0.805247828,0.64
Pillbugzmain,0.522239872,0.11
ClaraLatana,0.548888816,0.12
phantomkiller05,0.880831268,0.92
literallyxavier,0.786564267,0.3
0xmiyyaauwcityx,0.80482457,0.45
astromel_,0.260367838,0.02
TheSoCalSal,0.317394501,0.04
JIBUNMAKURA_,0.805221689,0.61
roque_tweets,0.522239872,0.11
lazy_days5,0.810212929,0.75
n9vgJj36rUOsGmY,0.782826526,0.29
abu_nouman,0.801617084,0.38
BaakDuran20,0.82525729,0.82
Shirley72935868,0.796624129,0.34
Mafi7ll,0.598241997,0.14
kcdubz,0.598241997,0.14
MadParkPTA,0.752712155,0.24
Hi_IamFyo,0.859576255,0.89
kobuchabucha,0.805768421,0.68
werki_tdf,0.819347825,0.8
millertodda,0.317394501,0.04
MostHatedB_,0.782826526,0.29
svtschingyu,0.346921018,0.05
sitihananurapr2,0.805247828,0.64
Porn__Xxx__7,0.819347825,0.8
SLsinlogo,0.798228728,0.35
Obachannn1,0.465839247,0.09
quackbt,0.808227838,0.73
