,M0101000,M0101010,M1010110,M0100000,M1010010
botwiki-verified,0.988,0.989,0.973,0.961,0.981
midterm-18,0.982,0.98,0.968,0.98,0.958
gilani-17,0.647,0.677,0.725,0.654,0.755
cresci-rtbust,0.752,0.679,0.647,0.768,0.641
5-fold_cross-validation,0.998,0.997,0.986,0.996,0.988
spearman_r,0.679,0.63,0.714,0.639,0.682
rank,1.0,2.0,3.0,4.0,5.0
